Identificador URL;Nome;Categorias;Nome da variação 1;Valor da variação 1;Nome da variação 2;Valor da variação 2;Nome da variação 3;Valor da variação 3;Preço;Preço promocional;Peso (kg);Altura (cm);Largura (cm);Comprimento (cm);Estoque;SKU;Código de barras;Exibir na loja;Frete gratis;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;Produto Físico;MPN (Cód. Exclusivo Modelo Fabricante);Sexo;Faixa etária;Custo
decante-amouage-cristal-gold-man;Decante Cristal & Gold Man - Amouage;Decantes > Amouage;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-AMOU-CRISTALGOLDM-2ML;;SIM;NÃO;"<p><strong>CRISTAL & GOLD MAN</strong> de <strong>AMOUAGE</strong> é um perfume <em>Chipre Amadeirado Masculino</em> lançado em <strong>2023</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Alexandra Carlin</strong>.</p><div style=""background: #FAF9F6; padding: 22px; border-radius: 0 8px 8px 0; border-left: 4px solid #C5A880; margin-top: 15px; margin-bottom: 25px;""><div style=""font-family: 'Playfair Display', Georgia, serif; font-size: 17.5px; font-style: italic; font-weight: 600; color: #1A3B32; margin-bottom: 3px;"">""A perspectiva de ÇaFleureBon...</div><div style=""font-family: 'Inter', sans-serif; font-size: 9px; text-transform: uppercase; letter-spacing: 0.8px; color: #7E786B; margin-bottom: 3px;"">PERSPECTIVA EDITORIAL DO BLOG CRÍTICO MAIS PREMIADO DA PERFUMARIA DE NICHO</div><div style=""font-family: 'Inter', sans-serif; font-size: 7.5px; font-style: italic; text-transform: uppercase; letter-spacing: 0.8px; color: #7E786B; opacity: 0.85; margin-bottom: 14px;"">(PERFUMED PLUME AWARDS, FRAGRANCE FOUNDATION AWARDS - FIFI, BASENOTES READER'S AWARDS)</div><div style=""font-style: italic; color: #4A4439; font-size: 13.5px; line-height: 1.75; margin-bottom: 15px;"">Cristal & Gold Man é uma joia rara feita para comemorar os 40 anos da grife. A perfumista Alexandra Carlin lapidou o clássico de 1983, criando um perfume de alta concentração que abre com o brilho ofuscante de aldeídos que parecem luz pura na pele. Sob essa névoa luminosa, revela-se a atração carnal da civeta e a maciez do sândalo, despertando um rastro de desejo íntimo, opulência e poder atemporal.</div><div style=""border-top: 1px solid #EAE6DB; padding-top: 12px; font-size: 13px; line-height: 1.6; color: #333333;""><strong style=""font-family: 'Playfair Display', Georgia, serif; font-style: italic; font-size: 14.5px; color: #1A3B32; font-weight: 600;"">Ocasiões Recomendadas:</strong> <em>Ideal para ocasiões de gala, eventos formais noturnos ou climas amenos onde se busca exalar opulência e sofisticação clássica.<span style=""font-family: 'Playfair Display', Georgia, serif; font-style: italic; font-weight: 600; font-size: 17.5px; color: #1A3B32; margin-left: 3px;"">""</span></em></div></div><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Aldeídos</em>, <em>Mel</em>, <em>Olíbano</em>, <em>Néroli</em>, <em>Bergamota</em> e <em>Petitgrain</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Heliotrópio</em>, <em>Jasmim</em>, <em>Rosa Damascena</em>, <em>Ylang Ylang</em> e <em>Raíz de Orris</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Civeta</em>, <em>Âmbar Cinzento</em>, <em>Ládano</em>, <em>Patchouli</em>, <em>Sândalo</em>, <em>Vetiver</em> e <em>Madeira Guaiac</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Amouage, Cristal & Gold Man, importado, perfume;Decante Cristal & Gold Man - Amouage | Original Montalk;Compre decante original de Cristal & Gold Man - Amouage fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Amouage;SIM;;;;
decante-amouage-cristal-gold-man;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-AMOU-CRISTALGOLDM-5ML;;;NÃO;;;;;;SIM;;;;
decante-amouage-cristal-gold-man;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-AMOU-CRISTALGOLDM-10ML;;;NÃO;;;;;;SIM;;;;
decante-amouage-cristal-gold-woman;Decante Cristal & Gold Woman - Amouage;Decantes > Amouage;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-AMOU-CRISTALGOLDW-2ML;;SIM;NÃO;"<p><strong>CRISTAL & GOLD WOMAN</strong> de <strong>AMOUAGE</strong> é um perfume <em>Floral Aldeídico Feminino</em> lançado em <strong>2023</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Alexandra Carlin</strong>.</p><div style=""background: #FAF9F6; padding: 22px; border-radius: 0 8px 8px 0; border-left: 4px solid #C5A880; margin-top: 15px; margin-bottom: 25px;""><div style=""font-family: 'Playfair Display', Georgia, serif; font-size: 17.5px; font-style: italic; font-weight: 600; color: #1A3B32; margin-bottom: 3px;"">""A perspectiva de ÇaFleureBon...</div><div style=""font-family: 'Inter', sans-serif; font-size: 9px; text-transform: uppercase; letter-spacing: 0.8px; color: #7E786B; margin-bottom: 3px;"">PERSPECTIVA EDITORIAL DO BLOG CRÍTICO MAIS PREMIADO DA PERFUMARIA DE NICHO</div><div style=""font-family: 'Inter', sans-serif; font-size: 7.5px; font-style: italic; text-transform: uppercase; letter-spacing: 0.8px; color: #7E786B; opacity: 0.85; margin-bottom: 14px;"">(PERFUMED PLUME AWARDS, FRAGRANCE FOUNDATION AWARDS - FIFI, BASENOTES READER'S AWARDS)</div><div style=""font-style: italic; color: #4A4439; font-size: 13.5px; line-height: 1.75; margin-bottom: 15px;"">Cristal & Gold Woman celebra os 40 anos da grife em uma releitura magistral de Alexandra Carlin. O perfume envolve os sentidos em uma névoa dourada de aldeídos e néroli, flutuando sobre um coração suntuoso e atalcado de jasmim e rosa. Na pele, o calor carnal da civeta derrete-se na doçura da baunilha, despertando uma aura de realeza, luxo e desejo magnético.</div><div style=""border-top: 1px solid #EAE6DB; padding-top: 12px; font-size: 13px; line-height: 1.6; color: #333333;""><strong style=""font-family: 'Playfair Display', Georgia, serif; font-style: italic; font-size: 14.5px; color: #1A3B32; font-weight: 600;"">Ocasiões Recomendadas:</strong> <em>Excelente para jantares de gala, noites frias de outono e inverno, ou ocasiões especiais onde se deseja projetar uma aura aristocrática e elegante.<span style=""font-family: 'Playfair Display', Georgia, serif; font-style: italic; font-weight: 600; font-size: 17.5px; color: #1A3B32; margin-left: 3px;"">""</span></em></div></div><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Aldeídos</em>, <em>Néroli</em>, <em>Petitgrain</em>, <em>Olíbano</em> e <em>Bergamota</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Rosa</em>, <em>Jasmim</em>, <em>Heliotrópio</em>, <em>Ylang Ylang</em> e <em>Raíz de Orris</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Âmbar</em>, <em>Civeta</em>, <em>Baunilha de Bourbon</em>, <em>Vetiver</em>, <em>Ládano</em> e <em>Sândalo</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Amouage, Cristal & Gold Woman, importado, perfume;Decante Cristal & Gold Woman - Amouage | Original Montalk;Compre decante original de Cristal & Gold Woman - Amouage fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Amouage;SIM;;;;
decante-amouage-cristal-gold-woman;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-AMOU-CRISTALGOLDW-5ML;;;NÃO;;;;;;SIM;;;;
decante-amouage-cristal-gold-woman;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-AMOU-CRISTALGOLDW-10ML;;;NÃO;;;;;;SIM;;;;
decante-amouage-guidance;Decante Guidance - Amouage;Decantes > Amouage;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-AMOU-GUIDANCE-2ML;;SIM;NÃO;"<p><strong>GUIDANCE</strong> de <strong>AMOUAGE</strong> é um perfume <em>Floral Frutado Compartilhável (Unissex)</em> lançado em <strong>2023</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Quentin Bisch</strong>.</p><div style=""background: #FAF9F6; padding: 22px; border-radius: 0 8px 8px 0; border-left: 4px solid #C5A880; margin-top: 15px; margin-bottom: 25px;""><div style=""font-family: 'Playfair Display', Georgia, serif; font-size: 17.5px; font-style: italic; font-weight: 600; color: #1A3B32; margin-bottom: 3px;"">""A perspectiva de ÇaFleureBon...</div><div style=""font-family: 'Inter', sans-serif; font-size: 9px; text-transform: uppercase; letter-spacing: 0.8px; color: #7E786B; margin-bottom: 3px;"">PERSPECTIVA EDITORIAL DO BLOG CRÍTICO MAIS PREMIADO DA PERFUMARIA DE NICHO</div><div style=""font-family: 'Inter', sans-serif; font-size: 7.5px; font-style: italic; text-transform: uppercase; letter-spacing: 0.8px; color: #7E786B; opacity: 0.85; margin-bottom: 14px;"">(PERFUMED PLUME AWARDS, FRAGRANCE FOUNDATION AWARDS - FIFI, BASENOTES READER'S AWARDS)</div><div style=""font-style: italic; color: #4A4439; font-size: 13.5px; line-height: 1.75; margin-bottom: 15px;"">Guidance é uma obra-prima de Quentin Bisch que evoca a imagem poética de um santuário de marfim e ouro. O perfume envolve a pele em um abraço aveludado e lactônico de avelã e sândalo, que sussurra contra a doçura da pera e o calor sagrado do olíbano. Uma fragrância de textura de seda e sensualidade hipnótica.</div><div style=""border-top: 1px solid #EAE6DB; padding-top: 12px; font-size: 13px; line-height: 1.6; color: #333333;""><strong style=""font-family: 'Playfair Display', Georgia, serif; font-style: italic; font-size: 14.5px; color: #1A3B32; font-weight: 600;"">Ocasiões Recomendadas:</strong> <em>Perfeito para climas amenos, encontros românticos ou jantares sofisticados onde se busca uma presença marcante, cremosa e altamente sedutora.<span style=""font-family: 'Playfair Display', Georgia, serif; font-style: italic; font-weight: 600; font-size: 17.5px; color: #1A3B32; margin-left: 3px;"">""</span></em></div></div><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Pera</em>, <em>Avelã</em> e <em>Olíbano</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Osmanthus</em>, <em>Rosa</em>, <em>Açafrão</em> e <em>Jasmim Sambac</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Sândalo</em>, <em>Baunilha</em>, <em>Akigalawood</em>, <em>Âmbar Cinzento</em> e <em>Ládano</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Amouage, Guidance, importado, perfume;Decante Guidance - Amouage | Original Montalk;Compre decante original de Guidance - Amouage fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Amouage;SIM;;;;
decante-amouage-guidance;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-AMOU-GUIDANCE-5ML;;;NÃO;;;;;;SIM;;;;
decante-amouage-guidance;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-AMOU-GUIDANCE-10ML;;;NÃO;;;;;;SIM;;;;
decante-amouage-guidance-46;Decante Guidance 46 - Amouage;Decantes > Amouage;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-AMOU-GUIDANCE46-2ML;;SIM;NÃO;"<p><strong>GUIDANCE 46</strong> de <strong>AMOUAGE</strong> é um perfume <em>Oriental Floral Compartilhável (Unissex)</em> lançado em <strong>2024</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Quentin Bisch</strong>.</p><div style=""background: #FAF9F6; padding: 22px; border-radius: 0 8px 8px 0; border-left: 4px solid #C5A880; margin-top: 15px; margin-bottom: 25px;""><div style=""font-family: 'Playfair Display', Georgia, serif; font-size: 17.5px; font-style: italic; font-weight: 600; color: #1A3B32; margin-bottom: 3px;"">""A perspectiva de ÇaFleureBon...</div><div style=""font-family: 'Inter', sans-serif; font-size: 9px; text-transform: uppercase; letter-spacing: 0.8px; color: #7E786B; margin-bottom: 3px;"">PERSPECTIVA EDITORIAL DO BLOG CRÍTICO MAIS PREMIADO DA PERFUMARIA DE NICHO</div><div style=""font-family: 'Inter', sans-serif; font-size: 7.5px; font-style: italic; text-transform: uppercase; letter-spacing: 0.8px; color: #7E786B; opacity: 0.85; margin-bottom: 14px;"">(PERFUMED PLUME AWARDS, FRAGRANCE FOUNDATION AWARDS - FIFI, BASENOTES READER'S AWARDS)</div><div style=""font-style: italic; color: #4A4439; font-size: 13.5px; line-height: 1.75; margin-bottom: 15px;"">Guidance 46 é um Extrait de Parfum magnífico que eleva a assinatura de Quentin Bisch ao ápice da intensidade (46% de óleos). Uma evolução rica e misteriosa que aprofunda o frescor amendoado da avelã e da pera com o calor opulento do osmanthus, sândalo e fava tonka. Uma fragrância hipnótica, de fixação colossal.</div><div style=""border-top: 1px solid #EAE6DB; padding-top: 12px; font-size: 13px; line-height: 1.6; color: #333333;""><strong style=""font-family: 'Playfair Display', Georgia, serif; font-style: italic; font-size: 14.5px; color: #1A3B32; font-weight: 600;"">Ocasiões Recomendadas:</strong> <em>Excelente para grandes eventos, climas frios e ocasiões solenes onde se busca a máxima distinção olfativa com um rastro monumental.<span style=""font-family: 'Playfair Display', Georgia, serif; font-style: italic; font-weight: 600; font-size: 17.5px; color: #1A3B32; margin-left: 3px;"">""</span></em></div></div><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Água de Rosas</em>, <em>Pera</em>, <em>Avelã</em>, <em>Amêndoa Amarga</em>, <em>Olíbano</em> e <em>Pimenta Rosa</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Rosa</em>, <em>Osmanthus</em>, <em>Açafrão</em> e <em>Jasmim Sambac</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Sândalo</em>, <em>Akigalawood</em>, <em>Baunilha</em>, <em>Ambreta</em>, <em>Ládano</em>, <em>Âmbar Cinzento</em>, <em>Georgywood</em> e <em>Nagarmota ou Óleo de Cipriol</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Amouage, Guidance 46, importado, perfume;Decante Guidance 46 - Amouage | Original Montalk;Compre decante original de Guidance 46 - Amouage fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Amouage;SIM;;;;
